modelID,treatment,rep,day1,day4,day7,day10,day14,day17,day21
CN1571,vehicle,8,0,55,115,218,321,509,606
CN1571,DAB+TRA,1,0,144,255,269,340,333,436
CN1571,DAB+TRA,2,0,46,66,86,99,172,186
CN1571,DAB+TRA,3,0,35,53,96,112,126,140
CN1571,DAB+TRA,4,0,5,40,62,86,90,118
CN1571,DAB+TRA,5,0,18,38,69,100,88,106
CN1571,DAB+TRA,6,0,11,45,54,58,82,89
CN1571,DAB+TRA,7,0,17,55,77,91,84,86
CN1571,DAB+TRA,8,0,30,30,39,62,75,82
CN1571,DAB+TRA+CEL,1,0,38,51,101,145,170,167
CN1571,DAB+TRA+CEL,2,0,51,58,82,132,114,166
CN1571,DAB+TRA+CEL,3,0,20,29,63,76,90,120
CN1571,DAB+TRA+CEL,4,0,17,26,100,130,110,108
CN1571,DAB+TRA+CEL,5,0,4,20,33,62,83,95
CN1571,DAB+TRA+CEL,6,0,10,17,44,68,69,81
CN1571,DAB+TRA+CEL,7,0,16,38,48,63,40,52
CN1571,DAB+TRA+CEL,8,0,9,18,38,71,26,43
CN1571,DAB+TRA+PAN,1,0,10,24,39,60,54,76
CN1571,DAB+TRA+PAN,2,0,29,30,46,53,45,68
CN1571,DAB+TRA+PAN,3,0,7,-1,8,21,49,64
CN1571,DAB+TRA+PAN,4,0,18,36,84,41,46,50
CN1571,DAB+TRA+PAN,5,0,9,33,36,31,25,37
CN1571,DAB+TRA+PAN,6,0,16,22,29,35,63,37
CN1571,DAB+TRA+PAN,7,0,12,25,13,16,17,28
CN1571,DAB+TRA+PAN,8,0,0,0,2,23,34,25
CN1571,DAB+TRA+PAN+CEL,1,0,-8,-7,69,71,75,65
CN1571,DAB+TRA+PAN+CEL,2,0,-10,4,31,26,21,40
CN1571,DAB+TRA+PAN+CEL,3,0,15,5,33,32,17,29
CN1571,DAB+TRA+PAN+CEL,4,0,-7,18,7,15,14,19
CN1571,DAB+TRA+PAN+CEL,5,0,14,17,21,30,31,14
CN1571,DAB+TRA+PAN+CEL,6,0,9,-8,-3,15,29,14
CN1571,DAB+TRA+PAN+CEL,7,0,-13,-7,-5,3,17,11
CN1571,DAB+TRA+PAN+CEL,8,0,-3,0,23,5,9,9
